Date,Price,Open,High,Low
2014-06-11,33211.28,33311.12,33276.62,32998.29
2014-06-12,33510.26,33395.85,33693.3,33174.03
2014-06-13,33407.65,33379.0,33408.33,33327.25
2014-06-16,33651.25,33647.62,33929.58,33536.42
2014-06-17,33453.45,33255.24,33554.95,33189.21
2014-06-18,33639.05,33459.6,33672.13,33567.71
2014-06-19,33173.31,33217.48,33255.26,32777.61
2014-06-20,33384.05,33557.7,33539.09,33246.23
2014-06-23,33403.66,33496.83,33461.43,33353.51
2014-06-24,32924.65,32875.47,33052.6,32825.1
2014-06-25,33033.57,33074.52,33066.31,32877.39
2014-06-26,32890.55,32893.9,33105.87,32887.55
2014-06-27,33522.58,33583.06,33738.48,33468.9
2014-06-30,33593.02,33640.08,33685.17,33374.55
2014-07-01,34294.53,34157.72,34360.19,34039.22
2014-07-02,34528.06,34340.1,34559.64,34306.44
2014-07-03,34278.48,34347.4,34465.69,34031.58
2014-07-04,34383.28,34482.01,34449.83,34361.83
2014-07-07,34469.4,34416.13,34582.37,34439.69
2014-07-08,34745.51,34721.72,34886.89,34655.53
2014-07-09,34282.72,34335.98,34504.36,34208.66
2014-07-10,34218.86,34257.37,34418.05,33958.86
2014-07-11,34057.0,33971.53,34212.09,34002.04
2014-07-14,34140.45,34181.1,34285.35,34056.36
2014-07-15,34213.17,34193.72,34238.79,34032.99
2014-07-16,34324.5,34224.73,34409.34,34293.83
2014-07-17,34541.61,34510.52,34602.25,34512.55
2014-07-18,34500.95,34524.06,34658.3,34245.16
2014-07-21,34751.55,34825.51,34850.59,34702.43
2014-07-22,34646.66,34736.45,34653.1,34282.08
2014-07-23,34534.15,34445.27,34636.8,34366.06
2014-07-24,34651.31,34643.51,34716.44,34266.39
2014-07-25,34723.74,34644.78,34819.58,34601.45
2014-07-28,34436.38,34531.87,34689.59,34106.32
2014-07-29,35133.36,35183.19,35403.65,34972.98
2014-07-30,34846.11,34854.0,34932.0,34807.85
2014-07-31,34393.68,34274.85,34454.14,34303.06
2014-08-01,34751.69,34896.94,34874.98,34700.61
2014-08-04,34926.42,34848.92,34965.38,34901.73
2014-08-05,35060.35,34976.64,35084.82,34852.68
2014-08-06,34878.39,34886.35,35060.31,34797.46
2014-08-07,34463.22,34534.93,34587.23,34314.6
2014-08-08,34408.92,34439.86,34442.42,34385.4
2014-08-11,34407.34,34334.55,34585.52,34341.84
2014-08-12,34423.41,34357.44,34523.85,34231.61
2014-08-13,34464.15,34489.22,34507.59,34424.16
2014-08-14,34855.8,34887.05,35135.95,34707.18
2014-08-15,34532.33,34526.23,34803.43,34403.83
2014-08-18,33968.25,33892.51,34096.16,33617.12
2014-08-19,33866.66,33792.83,34189.96,33786.62
2014-08-20,33384.61,33283.74,33445.17,33243.64
2014-08-21,32600.06,32716.79,32611.23,32527.16
2014-08-22,33052.56,32938.85,33361.36,32906.94
2014-08-25,33116.31,33173.78,33162.11,33082.74
2014-08-26,32945.52,32908.55,32961.31,32943.26
2014-08-27,32843.81,32681.16,32904.63,32599.31
2014-08-28,33364.63,33475.47,33391.5,33190.6
2014-08-29,33710.84,33620.7,33829.43,33624.01
2014-09-01,33990.95,34037.41,34091.75,33828.54
2014-09-02,34102.46,34082.53,34552.76,34058.84
2014-09-03,33796.3,33861.78,33906.25,33573.08
2014-09-04,33771.01,33674.69,33854.16,33633.08
2014-09-05,33502.52,33531.22,33604.79,33461.46
2014-09-08,34119.76,34268.1,34241.94,34055.49
2014-09-09,33818.43,33759.28,33980.2,33484.05
2014-09-10,33442.95,33646.82,33522.03,33156.6
2014-09-11,32976.56,33033.41,33034.64,32866.47
2014-09-12,33222.53,32974.41,33253.31,32977.51
2014-09-15,32749.22,32804.26,32778.35,32398.23
2014-09-16,32937.3,32888.42,33050.96,32803.01
2014-09-17,33032.42,33115.79,33083.19,32864.67
2014-09-18,32984.3,33109.51,33024.73,32885.9
2014-09-19,33729.87,33774.96,33824.57,33407.72
2014-09-22,33579.46,33462.38,33770.07,33294.17
2014-09-23,33738.93,33681.36,33847.62,33725.17
2014-09-24,33385.19,33522.25,33407.81,33384.31
2014-09-25,33162.78,33105.1,33321.41,33048.18
2014-09-26,33396.0,33421.62,33451.16,33357.8
2014-09-29,33181.23,33157.8,33296.72,33103.94
2014-09-30,33183.01,32951.43,33376.48,33090.54
2014-10-01,33397.0,33278.65,33530.16,33364.38
2014-10-02,33432.96,33519.42,33516.95,33293.3
2014-10-03,33322.67,33308.42,33329.7,33033.03
2014-10-06,33350.35,33461.94,33436.0,33207.49
2014-10-07,32745.7,32557.92,32872.55,32711.27
2014-10-08,32676.75,32657.3,32688.79,32621.88
2014-10-09,32996.23,33153.76,33055.84,32989.09
2014-10-10,33521.99,33649.91,33654.92,33486.49
2014-10-13,33740.3,33778.36,33980.25,33643.72
2014-10-14,33798.12,33889.33,33918.39,33736.25
2014-10-15,33860.22,34078.39,33945.91,33602.63
2014-10-16,33644.28,33627.81,33971.18,33420.02
2014-10-17,33943.15,34007.58,34125.27,33734.63
2014-10-20,34226.71,34124.22,34712.58,34158.59
2014-10-21,34076.89,34094.11,34118.28,33872.58
2014-10-22,33626.35,33537.19,33665.31,33537.28
2014-10-23,33767.73,33809.81,34013.84,33617.35
2014-10-24,34157.22,34131.69,34185.66,33936.68
2014-10-27,34034.72,34236.98,34165.59,33980.23
2014-10-28,34126.9,34031.32,34193.37,34102.32
2014-10-29,34263.54,34438.14,34476.05,34164.91
2014-10-30,34575.97,34517.14,34615.22,34416.99
2014-10-31,34745.42,34732.6,34748.04,34485.08
2014-11-03,34474.46,34558.98,34666.83,34442.29
2014-11-04,34745.32,34532.1,34870.61,34652.0
2014-11-05,34666.37,34846.45,34835.82,34632.16
2014-11-06,34687.67,34465.83,34968.8,34347.99
2014-11-07,34973.2,35059.25,35098.06,34784.06
2014-11-10,34422.77,34434.89,34637.68,34256.5
2014-11-11,34698.34,34735.09,34806.15,34553.95
2014-11-12,34382.72,34465.59,34468.94,34310.96
2014-11-13,34219.4,34234.24,34238.58,34175.57
2014-11-14,34598.58,34677.68,34691.15,34426.31
2014-11-17,34979.71,35060.78,35242.6,34972.26
2014-11-18,34739.92,34867.38,34933.08,34604.08
2014-11-19,34438.21,34508.88,34439.41,34233.91
2014-11-20,33990.32,34118.6,34184.23,33889.51
2014-11-21,33747.08,33686.88,33795.58,33679.51
2014-11-24,34239.72,34165.18,34310.39,34198.74
2014-11-25,34308.03,34209.79,34508.17,34236.36
2014-11-26,34020.73,33927.2,34103.02,34009.52
2014-11-27,33993.32,33907.07,34053.43,33840.36
2014-11-28,33607.41,33578.86,33918.84,33387.85
2014-12-01,33592.95,33345.6,33710.03,33562.05
2014-12-02,33812.62,33681.45,33891.02,33743.3
2014-12-03,33406.95,33411.67,33413.28,33343.41
2014-12-04,33676.55,33746.73,33688.89,33628.82
2014-12-05,34163.05,34073.05,34195.53,34140.71
2014-12-08,34456.6,34381.82,34537.48,34417.5
2014-12-09,34301.85,34278.56,34529.46,34219.24
2014-12-10,34600.38,34610.79,34620.45,34313.49
2014-12-11,34316.28,34333.33,34430.6,34150.02
2014-12-12,34010.66,34004.19,34028.2,33936.75
2014-12-15,34678.8,34782.27,34707.25,34500.22
2014-12-16,34305.64,34231.42,34485.47,34107.04
2014-12-17,34075.76,34094.66,34122.76,33997.02
2014-12-18,34011.82,34107.23,34198.52,33920.77
2014-12-19,34051.19,34219.32,34138.3,34049.44
2014-12-22,34462.74,34678.46,34704.37,34256.9
2014-12-23,34717.34,34746.47,34867.66,34564.98
2014-12-24,35148.71,35029.69,35227.82,34945.21
2014-12-25,35401.47,35718.69,35730.65,35392.67
2014-12-26,35506.12,35187.12,35589.59,35505.31
2014-12-29,35085.58,35168.81,35196.64,35027.56
2014-12-30,35143.8,35193.57,35420.57,34978.1
2014-12-31,34930.91,35043.59,35042.3,34926.54
2015-01-01,34722.17,34732.42,34791.66,34607.96
2015-01-02,34647.3,34702.21,34929.6,34370.19
2015-01-05,35304.62,35387.1,35378.58,35259.5
2015-01-06,35631.35,35658.67,35766.8,35597.39
2015-01-07,35969.94,36009.71,36132.24,35740.48
2015-01-08,35641.34,35626.24,35785.39,35549.11
2015-01-09,35653.96,35726.72,35902.59,35536.3
2015-01-12,35597.6,35694.05,35606.01,35573.71
2015-01-13,35702.39,35736.28,35805.84,35585.07
2015-01-14,35978.91,35802.59,36027.24,35962.67
2015-01-15,35947.22,35857.07,36051.92,35848.6
2015-01-16,35997.86,36030.11,36062.04,35756.89
2015-01-19,36222.76,36133.78,36299.78,36110.05
2015-01-20,36366.19,36635.36,36509.75,36326.51
2015-01-21,36639.29,36658.91,36887.15,36577.01
2015-01-22,35778.42,35904.51,35820.63,35472.91
2015-01-23,35481.58,35553.75,35568.53,35206.96
2015-01-26,35445.69,35473.22,35460.69,35407.49
2015-01-27,35142.91,35103.34,35242.3,35036.06
2015-01-28,34819.92,34821.74,34890.77,34515.4
2015-01-29,34052.43,34048.68,34311.15,33887.64
2015-01-30,34263.76,34246.95,34263.95,33962.99
2015-02-02,34175.51,34363.85,34293.93,34025.31
2015-02-03,33908.88,33730.2,34170.14,33742.62
2015-02-04,34438.23,34182.96,34460.35,34292.09
2015-02-05,34308.4,34181.92,34341.77,34265.05
2015-02-06,34581.98,34418.59,34941.93,34129.63
2015-02-09,34664.61,34742.97,34770.49,34607.89
2015-02-10,34866.7,34731.69,34917.75,34771.65
2015-02-11,34253.46,34266.2,34284.87,34223.15
2015-02-12,34215.37,34292.16,34299.92,34201.89
2015-02-13,34093.27,34158.44,34106.19,33756.17
2015-02-16,34312.37,34434.99,34535.67,34073.64
2015-02-17,35178.13,35179.04,35377.01,34919.22
2015-02-18,35666.79,35699.04,35756.96,35311.11
2015-02-19,36087.83,36161.0,36226.07,35994.02
2015-02-20,35633.12,35528.1,35769.24,35486.92
2015-02-23,35713.26,35668.2,35751.28,35661.09
2015-02-24,35650.31,35534.04,35814.56,35421.72
2015-02-25,35218.92,35112.56,35227.25,35047.57
2015-02-26,35331.59,35338.67,35342.89,35282.13
2015-02-27,35659.6,35818.78,35867.64,35565.22
2015-03-02,35776.24,35933.83,36144.57,35710.91
2015-03-03,36080.74,35990.07,36099.41,35979.44
2015-03-04,36525.65,36673.37,36681.01,36049.67
2015-03-05,36417.14,36192.99,36435.02,36307.67
2015-03-06,37063.84,37068.97,37306.27,36853.46
2015-03-09,36797.48,36912.59,37132.58,36637.04
2015-03-10,36738.56,36607.38,36800.66,36629.72
2015-03-11,36735.09,36860.59,36987.25,36723.17
2015-03-12,36606.17,36671.42,36695.99,36499.48
2015-03-13,36137.68,36053.04,36262.94,35973.39
2015-03-16,36489.59,36387.12,36699.02,36437.39
2015-03-17,37104.69,37252.63,37142.67,36990.11
2015-03-18,37282.72,37324.53,37517.34,36973.59
2015-03-19,37333.74,37497.62,37396.95,37100.57
2015-03-20,37225.91,37301.73,37384.16,37114.84
2015-03-23,37390.37,37586.91,37467.68,37201.57
2015-03-24,37597.37,37500.77,37670.65,37488.59
2015-03-25,37550.51,37555.07,37769.31,37513.23
2015-03-26,37364.61,37272.66,37441.3,37340.01
2015-03-27,36545.89,36635.3,36692.11,36312.64
2015-03-30,36548.66,36735.56,36624.61,36546.38
2015-03-31,37018.28,36942.13,37351.09,36966.68
2015-04-01,37051.42,37022.87,37377.84,36934.27
2015-04-02,36563.89,36600.41,36638.84,36277.53
2015-04-03,36313.04,36132.26,36438.61,35934.08
2015-04-06,35817.28,35854.56,35852.67,35780.84
2015-04-07,35182.27,35171.76,35308.38,34906.71
2015-04-08,35666.58,35773.78,35844.67,35498.85
2015-04-09,35734.33,35817.16,35994.13,35534.53
2015-04-10,35893.49,35770.28,36038.64,35569.12
2015-04-13,35214.37,35381.72,35257.7,35137.01
2015-04-14,35396.41,35488.62,35631.22,35321.95
2015-04-15,35627.79,35741.44,35827.34,35339.25
2015-04-16,36036.52,36328.3,36089.91,35858.98
2015-04-17,35717.64,35762.01,35907.98,35655.61
2015-04-20,35328.91,35402.69,35585.47,35194.98
2015-04-21,35741.71,35846.15,35813.15,35680.11
2015-04-22,35958.49,35962.6,35990.23,35246.63
2015-04-23,35877.03,35796.63,35942.17,35640.26
2015-04-24,36129.85,36153.54,36337.47,35900.65
2015-04-27,36707.53,36666.94,36820.41,36511.42
2015-04-28,36820.21,36807.25,36833.6,36778.38
2015-04-29,37005.9,37096.84,37187.19,36959.13
2015-04-30,37327.33,37356.29,37366.31,37148.43
2015-05-01,37587.21,37555.9,37676.9,37544.08
2015-05-04,37553.82,37523.32,37646.79,37419.26
2015-05-05,37595.59,37724.41,37610.07,37445.91
2015-05-06,36989.35,36972.46,37164.5,36931.37
2015-05-07,36576.2,36492.7,36698.66,36538.3
2015-05-08,37438.35,37297.64,37527.63,37317.34
2015-05-11,37249.95,37222.25,37392.45,36972.57
2015-05-12,36703.9,36722.6,36975.55,36628.3
2015-05-13,37156.79,37256.51,37265.25,37115.23
2015-05-14,37764.49,37932.27,38003.85,37548.22
2015-05-15,37343.1,37271.14,37424.81,37216.78
2015-05-18,37367.51,37482.93,37383.69,37301.58
2015-05-19,37308.33,37529.93,37439.3,37202.37
2015-05-20,37220.26,37267.92,37263.41,37095.18
2015-05-21,36958.07,36869.66,37063.01,36941.96
2015-05-22,36701.26,36673.84,36837.92,36641.86
2015-05-25,36554.78,36643.93,36811.39,36512.3
2015-05-26,36746.55,36565.95,36794.73,36515.08
2015-05-27,36697.97,36768.56,36767.52,36485.62
2015-05-28,36786.14,36793.32,36862.87,36546.6
2015-05-29,36849.75,36756.99,36987.3,36706.72
2015-06-01,36799.35,36958.33,36859.4,36739.62
2015-06-02,36601.39,36521.56,36787.77,36583.88
2015-06-03,36338.55,36560.52,36370.21,36206.45
2015-06-04,36231.98,36244.1,36247.07,36152.09
2015-06-05,36239.82,36271.72,36277.48,36175.37
2015-06-08,35797.45,35636.71,36004.06,35664.12
2015-06-09,35562.87,35430.43,35586.29,35152.83
2015-06-10,35884.75,35669.59,35993.34,35522.42
2015-06-11,35639.87,35596.05,35737.48,35546.56
2015-06-12,35691.07,35834.31,35927.51,35645.5
2015-06-15,35257.38,35190.33,35376.17,34862.93
2015-06-16,35664.24,35694.3,35720.89,35332.75
2015-06-17,36104.86,36189.29,36445.01,35960.92
2015-06-18,36199.77,36097.39,36258.82,36126.36
2015-06-19,36252.99,36322.9,36279.72,36104.49
2015-06-22,36415.3,36446.55,36628.57,36307.81
2015-06-23,36384.7,36472.38,36526.24,36205.02
2015-06-24,36170.29,36121.17,36241.32,35887.99
2015-06-25,36459.86,36509.35,36612.62,36441.93
2015-06-26,36239.87,36324.5,36284.05,36199.18
2015-06-29,36386.51,36351.4,36498.98,36145.53
2015-06-30,36810.55,36809.02,36876.45,36745.7
2015-07-01,36437.75,36530.1,36455.12,36108.65
2015-07-02,36404.11,36455.39,36414.56,36385.38
2015-07-03,36421.46,36318.77,36796.81,36246.81
2015-07-06,35748.09,35717.08,35752.61,35605.01
2015-07-07,35605.11,35603.24,35840.7,35323.56
2015-07-08,35640.38,35532.71,35709.5,35576.49
2015-07-09,35249.31,35151.0,35278.9,35163.12
2015-07-10,35574.57,35532.34,36016.46,35355.79
2015-07-13,36114.97,35977.51,36318.61,36010.76
2015-07-14,36602.56,36668.95,36858.51,36590.36
2015-07-15,37295.19,37330.55,37366.81,37059.75
2015-07-16,37212.62,37357.42,37439.77,37163.75
2015-07-17,37619.08,37714.24,37713.36,37591.65
2015-07-20,37745.74,37730.26,37823.96,37571.49
2015-07-21,37350.51,37275.69,37488.84,37039.43
2015-07-22,37053.58,36949.55,37146.7,37030.28
2015-07-23,36935.95,36799.89,37442.81,36700.96
2015-07-24,36373.81,36387.71,36701.52,36245.35
2015-07-27,36379.52,36336.09,36677.26,35955.73
2015-07-28,36402.62,36691.07,36538.61,36214.81
2015-07-29,37355.12,37459.35,37617.77,37315.85
2015-07-30,37469.1,37470.83,37654.58,37177.68
2015-07-31,37943.65,38011.05,38276.19,37793.54
2015-08-03,38144.79,37899.92,38240.01,37993.67
2015-08-04,37928.1,38006.63,37996.17,37830.26
2015-08-05,37618.64,37774.78,37658.22,37502.57
2015-08-06,37442.35,37525.58,37613.46,37369.89
2015-08-07,37345.25,37329.99,37483.23,37114.37
2015-08-10,37744.83,37723.02,38137.86,37507.43
2015-08-11,38177.19,38274.24,38503.57,38014.05
2015-08-12,38058.98,38070.18,38101.15,38006.99
2015-08-13,37989.53,37782.61,38019.02,37875.28
2015-08-14,37736.36,37922.78,37882.75,37556.69
2015-08-17,37686.87,37750.83,37796.15,37624.54
2015-08-18,37792.49,37765.93,37853.56,37707.17
2015-08-19,37621.88,37735.38,37652.66,37546.95
2015-08-20,37682.49,37722.32,37910.16,37642.16
2015-08-21,37484.21,37749.23,37572.85,37303.01
2015-08-24,37947.17,38022.05,38095.39,37747.57
2015-08-25,38037.72,37803.01,38131.78,37903.42
2015-08-26,37859.93,37708.98,38062.36,37695.66
2015-08-27,38351.9,38411.33,38508.83,38027.4
2015-08-28,37777.09,37723.45,38084.81,37620.87
2015-08-31,37746.98,37615.29,38292.98,37728.59
2015-09-01,38280.56,38383.79,38416.18,38034.43
2015-09-02,38716.21,38765.23,38724.87,38526.15
2015-09-03,39006.27,38819.72,39071.94,38909.6
2015-09-04,39007.57,38975.07,39349.63,38684.66
2015-09-07,39380.09,39443.52,39467.31,39188.75
2015-09-08,39652.78,39613.48,39772.68,39498.52
2015-09-09,40053.47,40022.35,40146.45,39795.55
2015-09-10,39707.03,39920.47,39737.68,39529.68
2015-09-11,40119.81,40063.51,40627.28,39931.44
2015-09-14,39810.45,39839.05,39861.22,39681.41
2015-09-15,39373.82,39254.38,39524.69,39106.3
2015-09-16,39384.8,39502.65,39403.59,39319.68
2015-09-17,39373.82,39355.49,39417.82,39317.56
2015-09-18,39839.45,39695.58,40091.36,39658.35
2015-09-21,39778.44,40022.08,39812.05,39672.2
2015-09-22,39906.87,40035.89,40050.14,39870.93
2015-09-23,39563.84,39530.69,39668.57,39414.39
2015-09-24,39146.36,39047.7,39299.47,39065.05
2015-09-25,39033.91,38760.36,39089.09,38849.45
2015-09-28,39251.33,39310.79,39506.58,39219.75
2015-09-29,40183.07,40133.42,40329.97,40139.05
2015-09-30,39821.79,39698.26,39902.18,39544.06
2015-10-01,40482.88,40399.84,40930.65,40249.04
2015-10-02,40394.83,40273.95,40397.5,40289.15
2015-10-05,40922.56,40974.02,41262.82,40899.81
2015-10-06,40403.87,40358.18,40719.85,40400.16
2015-10-07,40512.74,40352.14,40749.77,40387.81
2015-10-08,40584.68,40762.82,40672.89,40545.6
2015-10-09,40437.48,40418.37,40523.21,40119.2
2015-10-12,40353.53,40426.56,40438.69,39975.81
2015-10-13,40367.6,40314.51,40401.48,40342.91
2015-10-14,40428.46,40264.6,40516.8,40191.75
2015-10-15,39767.8,39772.93,39833.8,39701.2
2015-10-16,39340.08,39282.96,39422.05,39253.12
2015-10-19,39046.22,39318.24,39272.47,38943.88
2015-10-20,38112.83,38307.68,38290.67,37992.11
2015-10-21,37663.25,37975.52,37772.19,37295.41
2015-10-22,37925.35,37930.43,38210.36,37750.44
2015-10-23,38042.31,37926.39,38270.64,38011.66
2015-10-26,37743.16,37639.66,38012.92,37678.16
2015-10-27,38071.36,37939.97,38153.38,38021.0
2015-10-28,38082.17,37981.75,38275.2,37813.87
2015-10-29,37779.52,37684.69,37925.5,37704.41
2015-10-30,38002.34,38084.03,38182.47,37798.68
2015-11-02,38467.63,38661.68,38864.58,38196.17
2015-11-03,38360.49,38274.8,38493.6,38344.85
2015-11-04,38624.94,38652.58,38868.47,38553.96
2015-11-05,38738.65,38570.57,38898.68,38726.47
2015-11-06,38863.98,38733.89,38925.71,38750.44
2015-11-09,38447.93,38619.82,38696.68,38294.69
2015-11-10,37998.09,38007.64,38034.44,37885.32
2015-11-11,37636.91,37774.74,37642.15,37565.32
2015-11-12,37754.52,37566.01,37775.38,37604.9
2015-11-13,37745.19,37736.81,37923.59,37655.15
2015-11-16,37695.89,37595.96,37731.73,37521.46
2015-11-17,38142.51,37959.34,38461.57,38005.31
2015-11-18,38676.75,38598.91,38734.7,38645.03
2015-11-19,38049.49,37980.28,38289.33,37857.32
2015-11-20,37348.19,37374.27,37420.77,37138.1
2015-11-23,37208.05,37480.04,37442.93,37085.18
2015-11-24,37366.16,37657.09,37576.08,37242.66
2015-11-25,37571.48,37576.3,37668.99,37529.77
2015-11-26,37495.28,37467.47,37609.37,37435.91
2015-11-27,36808.69,36655.95,36912.46,36791.81
2015-11-30,37441.44,37475.15,37543.44,37422.71
2015-12-01,37225.01,37245.98,37272.41,36872.28
2015-12-02,37356.11,37336.94,37480.17,37274.97
2015-12-03,37376.34,37433.0,37419.4,37296.94
2015-12-04,37280.33,37259.22,37391.42,37148.25
2015-12-07,37663.73,37673.74,37783.65,37225.11
2015-12-08,38101.57,37861.9,38468.8,37965.15
2015-12-09,37656.18,37621.29,37729.71,37357.68
2015-12-10,36820.16,36746.01,36904.88,36427.32
2015-12-11,36618.83,36813.29,36814.52,36363.53
2015-12-14,36743.25,36800.81,36878.96,36370.68
2015-12-15,36846.79,36841.93,36927.3,36821.85
2015-12-16,36976.76,37005.77,37094.0,36725.28
2015-12-17,37361.89,37550.93,37706.71,37273.12
2015-12-18,37714.84,37799.63,38011.5,37422.03
2015-12-21,37581.4,37666.35,37779.55,37560.58
2015-12-22,37135.74,37114.63,37188.49,37123.23
2015-12-23,36898.25,36781.2,37159.67,36883.58
2015-12-24,37302.5,37569.92,37372.8,37196.96
