Stock_Return,Stock_Volatility,Bond_Yield,Bond_Volatility,FX_Return,FX_Volatility,VIX,Crisis_Label
0.01284,0.1208,0.0479,0.0537,-0.00514,0.0455,11.38,0
-0.01369,0.1582,0.0456,0.0504,-0.00433,0.0461,15.3,0
-0.02104,0.5153,0.0929,0.1413,-0.01854,0.3154,66.51,1
-0.00686,0.1448,0.0451,0.0402,0.00332,0.0685,20.98,0
-0.01649,0.141,0.0465,0.0311,0.00123,0.0437,17.77,0
-0.01018,0.1019,0.0544,0.0511,0.00121,0.0736,14.13,0
0.00578,0.1252,0.0644,0.0613,8e-05,0.0635,17.0,0
0.00129,0.1271,0.0418,0.0472,-0.00222,0.0811,14.18,0
0.00344,0.361,0.081,0.1824,-0.00676,0.1734,35.31,1
0.00205,0.1693,0.0524,0.0471,0.00036,0.0758,13.51,0
0.02286,0.5031,0.0459,0.1342,-0.00219,0.2049,55.75,1
0.02852,0.4439,0.104,0.0936,-0.00855,0.1334,56.21,1
0.00026,0.1062,0.0326,0.066,-0.00453,0.0667,11.29,0
-0.00942,0.164,0.0369,0.0399,0.00291,0.0485,19.85,0
0.01767,0.1696,0.0339,0.051,-0.00627,0.0668,20.2,0
-0.01665,0.1149,0.0496,0.0681,-0.0037,0.0836,19.42,0
0.00789,0.1626,0.0457,0.0455,0.00584,0.0467,15.64,0
0.00207,0.1203,0.0368,0.067,-0.00369,0.0742,16.35,0
0.00279,0.148,0.0408,0.0523,0.00912,0.0834,12.87,0
-0.00211,0.1723,0.0545,0.0519,0.00412,0.0896,12.17,0
0.00094,0.1258,0.0424,0.0554,0.00765,0.0587,16.74,0
-0.00703,0.108,0.0216,0.0497,-0.00366,0.0667,14.43,0
-0.01993,0.1764,0.0442,0.0692,-0.00237,0.0763,14.81,0
-0.00267,0.1137,0.0407,0.056,0.00321,0.078,15.25,0
0.00412,0.1508,0.0376,0.0485,-0.00396,0.0741,19.1,0
-0.03146,0.5757,0.0873,0.1,0.00076,0.1326,31.19,1
0.00022,0.1219,0.033,0.0356,0.00651,0.0514,20.1,0
0.00114,0.1464,0.042,0.0667,-0.00502,0.0415,15.43,0
-0.00219,0.1415,0.0459,0.052,0.00377,0.0857,17.81,0
-0.00628,0.138,0.0341,0.0692,-0.00567,0.0662,13.93,0
3e-05,0.1023,0.052,0.0371,-0.007,0.078,16.84,0
-0.00666,0.1361,0.0429,0.0389,0.00144,0.0863,17.96,0
0.00156,0.1444,0.0371,0.0488,0.00214,0.0519,11.14,0
0.00803,0.151,0.0413,0.0431,1e-05,0.0682,16.21,0
-0.03731,0.5359,0.0799,0.1156,0.00107,0.2082,40.17,1
0.00904,0.1328,0.0636,0.0651,0.00481,0.0489,14.1,0
-0.00153,0.1763,0.0475,0.0341,-0.00534,0.0819,21.08,0
-0.00575,0.1787,0.0433,0.0566,0.00055,0.0869,12.93,0
0.00138,0.1692,0.04,0.0528,-0.00141,0.0531,20.38,0
0.01337,0.1666,0.0457,0.0466,-0.00049,0.0624,17.84,0
0.00177,0.1066,0.0464,0.049,-0.00189,0.0714,15.0,0
0.00019,0.1348,0.0575,0.0325,0.0023,0.0722,21.86,0
0.01144,0.1285,0.0288,0.0698,0.00047,0.0508,16.07,0
-0.00266,0.1124,0.0631,0.0403,0.00358,0.0515,17.85,0
0.01015,0.1265,0.0413,0.0646,-0.00148,0.0659,16.02,0
3e-05,0.165,0.0567,0.0327,0.0002,0.0698,12.72,0
0.01544,0.5148,0.0765,0.1471,0.02358,0.2278,63.34,1
0.00333,0.121,0.0366,0.0443,-0.00361,0.0679,20.26,0
0.01118,0.1103,0.0465,0.0391,-0.00111,0.0579,20.68,0
-0.01853,0.1386,0.0564,0.0391,-0.0017,0.0475,16.39,0
-0.01685,0.4214,0.0943,0.2151,-0.00232,0.1779,53.81,1
-0.0026,0.1123,0.0357,0.054,0.00229,0.0721,17.07,0
-0.00606,0.1475,0.0416,0.0572,0.00022,0.0542,19.21,0
0.00232,0.1481,0.0422,0.0342,0.00124,0.0441,19.19,0
-0.00356,0.173,0.0524,0.0452,0.00357,0.0671,21.74,0
-0.0024,0.1626,0.0511,0.0615,-0.00091,0.0807,16.5,0
-0.03402,0.5634,0.0547,0.1388,-0.02211,0.1361,38.21,1
0.00414,0.161,0.0472,0.0631,-0.00623,0.0874,20.82,0
-0.00476,0.1227,0.0516,0.036,0.00528,0.0666,19.64,0
0.00914,0.1045,0.0409,0.0605,-0.00052,0.0757,14.73,0
0.0092,0.1051,0.0519,0.0671,0.00526,0.088,21.47,0
0.0009,0.141,0.048,0.057,0.00704,0.0425,14.4,0
-0.01085,0.3404,0.0578,0.1348,0.0123,0.1514,33.44,1
0.00361,0.1788,0.0479,0.0503,-0.0039,0.0836,19.24,0
0.02242,0.579,0.0756,0.1009,-0.00265,0.1891,33.06,1
-3e-05,0.12,0.0435,0.0484,-0.00093,0.0636,11.84,0
0.00266,0.1461,0.0333,0.0392,-0.00049,0.0881,18.9,0
0.0008,0.168,0.0471,0.0465,0.0035,0.0741,18.55,0
-0.00281,0.1394,0.0448,0.0552,0.01033,0.064,17.85,0
0.03321,0.4651,0.0656,0.1062,0.00633,0.2135,49.81,1
-0.00053,0.1277,0.0463,0.0453,0.00252,0.0601,18.11,0
0.00144,0.1121,0.0501,0.0653,-0.00399,0.0515,19.97,0
-0.0067,0.1577,0.0497,0.0492,0.00502,0.0871,12.54,0
0.01251,0.1734,0.0439,0.0655,-0.00559,0.0671,20.07,0
-0.00841,0.1019,0.0462,0.0408,-0.00374,0.0691,17.79,0
-0.0054,0.1563,0.0391,0.0605,0.00325,0.0875,19.56,0
-0.00705,0.1115,0.0475,0.058,0.00021,0.0473,15.64,0
0.00714,0.1735,0.0374,0.0573,1e-05,0.0491,20.92,0
-0.00331,0.1542,0.0415,0.0503,-0.00335,0.0587,20.16,0
0.00601,0.1573,0.0229,0.0581,0.00994,0.0675,21.86,0
-0.00478,0.1471,0.0518,0.0557,-0.00202,0.0604,15.77,0
-0.00915,0.1697,0.0445,0.0675,0.00416,0.0642,17.57,0
0.00745,0.1508,0.0549,0.0621,-0.00858,0.0563,17.22,0
-0.0038,0.1099,0.0401,0.0603,0.00549,0.0423,14.82,0
0.01248,0.1035,0.0441,0.0628,-0.0006,0.0537,15.28,0
-0.018,0.1103,0.0321,0.0383,0.008,0.0439,15.35,0
-0.01273,0.1335,0.0407,0.0697,-0.0015,0.0661,11.44,0
0.00946,0.1612,0.036,0.0457,0.00613,0.0524,12.76,0
0.00032,0.1634,0.0232,0.0612,0.00045,0.0545,14.37,0
0.0207,0.1619,0.0323,0.0597,-0.00412,0.0754,19.84,0
0.00168,0.1166,0.0498,0.0628,-0.00438,0.0656,18.83,0
0.00589,0.3303,0.0666,0.2,0.00487,0.1204,35.3,1
-0.0131,0.1538,0.0564,0.057,-0.00723,0.0483,12.77,0
0.0047,0.1169,0.0534,0.066,-0.00224,0.0576,17.35,0
0.02133,0.1557,0.0526,0.0312,0.00123,0.0425,12.99,0
-0.01762,0.4152,0.0823,0.1274,-0.00131,0.1856,58.91,1
-0.00639,0.1602,0.0538,0.0483,-0.0015,0.06,21.93,0
0.00176,0.1619,0.0499,0.0383,-0.00017,0.0707,11.23,0
-0.00629,0.1636,0.0553,0.0616,-0.00189,0.0532,18.92,0
0.00841,0.1325,0.0456,0.0547,-0.00132,0.0508,19.42,0
0.0041,0.1246,0.0528,0.0534,-0.00032,0.057,20.72,0
-0.00655,0.1479,0.0421,0.0486,-0.00082,0.0497,11.64,0
-0.00258,0.1387,0.0377,0.0575,-0.00635,0.0543,18.85,0
0.01388,0.1357,0.0496,0.0469,-0.00078,0.0431,20.71,0
-0.00325,0.1292,0.0425,0.0544,0.00181,0.0568,21.38,0
-0.00678,0.1003,0.0486,0.061,0.00268,0.081,18.23,0
0.01229,0.1114,0.0473,0.0442,-0.00223,0.0793,14.26,0
-0.0032,0.1483,0.0544,0.0396,0.00023,0.0785,12.66,0
-0.00455,0.1566,0.042,0.034,-0.00226,0.0404,15.67,0
0.00465,0.1049,0.0618,0.0339,-0.005,0.0598,18.73,0
0.01319,0.1688,0.0591,0.0333,0.00681,0.0632,12.39,0
0.01589,0.1323,0.052,0.0317,0.00131,0.0491,20.68,0
0.00439,0.1628,0.0417,0.0444,-0.00013,0.0891,18.25,0
-0.00249,0.1474,0.0384,0.049,0.00052,0.0752,15.06,0
0.00333,0.167,0.0585,0.0443,-0.00164,0.0759,17.13,0
-0.01166,0.1598,0.0372,0.0583,-0.00231,0.0665,18.28,0
-0.04198,0.6172,0.0837,0.2179,0.00323,0.2621,49.02,1
-0.01192,0.1346,0.038,0.0646,0.00594,0.048,11.59,0
0.00879,0.1713,0.039,0.0602,-0.00033,0.0489,21.97,0
-0.00091,0.1041,0.0368,0.0353,-0.00211,0.0636,14.05,0
-0.00461,0.1277,0.053,0.0387,0.00201,0.0781,15.31,0
-0.01907,0.2913,0.0764,0.1256,0.0242,0.2951,56.47,1
-0.01038,0.421,0.0564,0.1442,0.00741,0.2603,30.58,1
0.00163,0.165,0.0427,0.0552,4e-05,0.0673,20.21,0
1e-05,0.6243,0.0782,0.2022,-0.01417,0.2275,51.29,1
-0.00998,0.16,0.0422,0.0384,0.00093,0.0596,11.62,0
0.00449,0.1713,0.049,0.0426,0.0086,0.0729,16.25,0
-0.01327,0.1754,0.046,0.0526,-0.00015,0.0422,20.4,0
0.02336,0.1137,0.0517,0.0373,0.00107,0.0506,18.22,0
0.01242,0.1352,0.0449,0.0427,0.00334,0.0435,18.71,0
0.00642,0.1459,0.0526,0.0598,-8e-05,0.043,21.39,0
0.00182,0.1131,0.0441,0.0494,-0.00308,0.0494,20.34,0
0.0089,0.1369,0.0418,0.055,0.00648,0.083,19.55,0
0.00892,0.1425,0.0521,0.0376,-0.00069,0.0896,17.59,0
0.00686,0.1117,0.0347,0.0682,-0.0053,0.065,12.51,0
-0.00194,0.1095,0.0546,0.0518,-0.00716,0.0625,11.24,0
-0.00304,0.1124,0.0435,0.0597,0.0023,0.0617,16.85,0
0.00236,0.5236,0.0556,0.1389,0.00326,0.1955,53.39,1
-0.00183,0.1275,0.0579,0.0481,0.00119,0.0465,12.56,0
4e-05,0.1639,0.0566,0.0343,-0.00744,0.0521,21.5,0
0.01021,0.135,0.0483,0.0444,0.00561,0.0728,14.17,0
-0.00934,0.1102,0.0514,0.0518,-0.00111,0.0659,16.22,0
-0.00591,0.1162,0.037,0.0638,-0.0033,0.0706,17.21,0
0.01049,0.1482,0.043,0.057,-0.00337,0.0618,16.36,0
-0.00421,0.153,0.0413,0.038,0.00294,0.0866,14.77,0
0.01681,0.1572,0.0276,0.0584,-0.00054,0.0681,16.22,0
0.00016,0.133,0.0554,0.0521,0.00718,0.0883,17.27,0
-0.0158,0.4571,0.0625,0.19,0.00465,0.2041,65.03,1
-0.00316,0.1147,0.0346,0.0553,-0.00029,0.0773,13.39,0
-0.00814,0.1606,0.035,0.055,-0.00508,0.0857,16.82,0
-0.03299,0.4433,0.0904,0.1146,0.00218,0.2387,59.48,1
-0.0069,0.1345,0.0407,0.0441,0.0036,0.0674,19.87,0
-0.00427,0.1318,0.0497,0.0344,-0.00417,0.0448,15.56,0
-0.01966,0.1026,0.043,0.0515,0.00314,0.0743,19.96,0
0.0098,0.1291,0.0517,0.05,-0.006,0.0466,11.57,0
-0.00546,0.2866,0.0519,0.1212,-0.00047,0.1914,55.73,1
0.01212,0.1028,0.0499,0.0475,0.00373,0.0595,12.96,0
-0.00442,0.1732,0.0512,0.0507,-0.00295,0.0473,11.54,0
-0.05652,0.3738,0.0664,0.1666,0.0044,0.1793,50.39,1
0.01565,0.1685,0.0566,0.0374,-0.00849,0.076,15.74,0
0.00684,0.4448,0.0633,0.1374,-0.02547,0.1677,48.39,1
-0.00384,0.1567,0.0359,0.0427,-0.00263,0.0807,18.05,0
0.00612,0.1192,0.0516,0.0613,0.00057,0.0467,11.12,0
0.00074,0.1527,0.0477,0.0438,0.00272,0.0837,17.16,0
0.00047,0.1676,0.0392,0.0675,-0.00614,0.0448,16.5,0
-0.00106,0.1717,0.0387,0.0465,0.00077,0.0404,12.41,0
0.01445,0.1383,0.0263,0.0592,-0.00163,0.087,11.6,0
-0.00407,0.1735,0.048,0.0369,-0.00083,0.0443,15.35,0
0.01587,0.1768,0.0439,0.0334,-0.00964,0.0775,16.24,0
0.01431,0.1565,0.0379,0.0348,0.00035,0.0672,18.99,0
-0.0007,0.1761,0.0574,0.0384,-0.00066,0.0663,18.06,0
0.00857,0.1797,0.0376,0.0394,0.00359,0.0797,13.98,0
0.01324,0.176,0.0456,0.0425,0.00172,0.0873,21.45,0
0.0326,0.5225,0.0673,0.1359,0.04164,0.2454,42.9,1
-0.00023,0.1313,0.0352,0.0647,0.0004,0.0596,12.07,0
-0.02311,0.1328,0.044,0.0317,-0.0067,0.0649,15.4,0
-0.03141,0.3684,0.0431,0.2114,-0.02531,0.1975,67.73,1
-0.0031,0.3006,0.0935,0.1432,-0.01402,0.1337,45.51,1
-0.00172,0.1235,0.033,0.0416,-0.00222,0.0859,18.51,0
0.00872,0.1125,0.0411,0.0444,-0.00412,0.07,18.6,0
-0.02359,0.3927,0.1077,0.1006,0.00122,0.2858,61.24,1
-0.0005,0.1734,0.0593,0.0315,0.00039,0.0494,11.92,0
-0.00209,0.1692,0.0381,0.0507,0.00138,0.0522,13.04,0
0.01315,0.1279,0.0538,0.0435,0.0014,0.0744,14.6,0
-0.00129,0.1432,0.0392,0.0666,-0.00662,0.064,13.13,0
0.00168,0.142,0.0398,0.0605,0.00262,0.0578,21.22,0
0.00088,0.1058,0.0494,0.035,0.00063,0.0574,12.77,0
0.00381,0.1213,0.0418,0.0519,0.00313,0.0774,18.97,0
0.01226,0.1282,0.0364,0.0458,0.00535,0.0427,18.63,0
0.00553,0.1554,0.0413,0.0632,0.00573,0.0619,21.86,0
-0.00732,0.2989,0.0637,0.2153,-0.01607,0.3008,40.42,1
-0.007,0.1592,0.0516,0.0595,0.00762,0.0695,21.17,0
0.01996,0.1687,0.0392,0.0357,-0.0006,0.0734,15.98,0
-6e-05,0.1504,0.0383,0.0429,-0.00083,0.0698,19.84,0
-0.01545,0.5716,0.1162,0.1187,0.01589,0.1554,52.63,1
